transaction_id,created_at,e2e_ref,sender_iban,receiver_iban,sender_bic,receiver_bic,amount,currency,msg_type,sender_country,receiver_country,sender_iban_len,sender_iban_valid,sender_iban_country,sender_iban_expected_len,sender_iban_len_ok,receiver_iban_len,receiver_iban_valid,receiver_iban_country,receiver_iban_expected_len,receiver_iban_len_ok,sender_bic_len,sender_bic_valid,sender_bic_country,receiver_bic_len,receiver_bic_valid,receiver_bic_country,receiver_bic_embargo,receiver_iban_embargo,both_bic_invalid,amount_decimal_places,amount_category,currency_valid,msg_type_valid,sender_country_match,receiver_country_match,currency_country_match,status,reject_reason,risk_score
TXN000001,2024-01-01 08:00:00,E2E-W0FZPNF66T,TR971585944357014817035157,CA947812404320999685,GARATRBB,NRSCCAHH,177401.28,TRY,pacs.008,TR,CA,26,1,TR,26,1,20,1,CA,20,1,8,1,TR,8,1,CA,0,0,0,2,ELEVE,1,1,1,1,1,RJCT,AM04,0.613
TXN000002,2024-01-01 08:12:00,E2E-LQ4M1UO9HG,CN378969776141683114,FR84155610551644392431023412494469244,CCBCCNCCXXX,CRLYFRAA001,66526.69,EUR,pacs.008,CN,FR,20,1,CN,20,1,37,0,FR,27,0,11,1,CN,11,1,FR,0,0,0,2,NORMAL,1,1,1,1,0,RJCT,AC01,0.5503
TXN000003,2024-01-01 08:26:00,E2E-URE6CD7VVX,FR7506056345359164513965914,FR9667092055618073592297162,BREDFR2XEUR,BNPAFRBB,20750.43,EUR,pacs.008,FR,FR,27,1,FR,27,1,27,1,FR,27,1,11,1,FR,8,1,FR,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.0119
TXN000004,2024-01-01 08:12:00,E2E-YN22EUBWJ7,MA5702698552453734545063,DE14292412488711598134,SGMRMAP1,DEUTDEBB,65157.79,MAD,pacs.008,MA,DE,24,1,MA,24,1,22,1,DE,22,1,8,1,MA,8,1,DE,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.1119
TXN000005,2024-01-01 08:32:00,E2E-Y4SA5ELRSN,AT830628608711912232,MA9160200105198809741464,BFKKATM9,ABHMMAGG,71645.37,EUR,pacs.008,AT,MA,20,1,AT,20,1,24,1,MA,24,1,8,1,AT,8,1,MA,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.1617
TXN000006,2024-01-01 08:20:00,E2E-02WSXRK3AH,TN4866338721000263343633,TR630734430285363701830811,BIATTNR3,YFBKTRPP,142939.63,TND,pacs.009,TN,TR,24,1,TN,24,1,26,1,TR,26,1,8,1,TN,8,1,TR,0,0,0,2,ELEVE,1,1,1,1,1,RJCT,AM04,0.6699
TXN000007,2024-01-01 08:48:00,E2E-67GIAEFZ2T,US326044248198341036,FR557580217,CHASUSXX,BREDFRGG001,40783.05,USD,pacs.009,US,FR,20,1,US,20,1,11,0,FR,27,0,8,1,US,11,1,FR,0,0,0,2,NORMAL,1,1,1,1,1,RJCT,AC04,0.8145
TXN000008,2024-01-01 08:21:00,E2E-GQN67E2B48,AT312327701371447474,AT153602353153697293,VKBLATXX,BFKKATZZEUR,67201.7,EUR,pacs.009,AT,AT,20,1,AT,20,1,20,1,AT,20,1,8,1,AT,11,1,AT,0,0,0,1,NORMAL,1,1,1,1,1,ACCP,,0.1832
TXN000009,2024-01-01 09:28:00,E2E-L1NB44IC75,US390307538320077255,CA308828707144297927,GSCMUSR3,BMONCAAA,158903.55,EUR,pacs.009,US,CA,20,1,US,20,1,20,1,CA,20,1,8,1,US,8,1,CA,0,0,0,2,ELEVE,1,1,1,1,0,RJCT,AM04,0.7514
TXN000010,2024-01-01 09:21:00,E2E-PWQE11N2F8,NL2789295292568802,BE91997159088602,ABNANLMM,DEUTBEP1BRC,68315.657,EUR,pacs.009,NL,BE,18,1,NL,18,1,16,1,BE,16,1,8,1,NL,11,1,BE,0,0,0,3,FORMAT_3DEC,1,1,1,1,1,RJCT,AM09,0.8093
TXN000011,2024-01-01 10:00:00,E2E-2H01XZBTZC,DZ4523429673868418053592,CA694026111533435275,BADRDZHH,BOFMCAZZ,20161.25,DZD,pacs.009,DZ,CA,24,1,DZ,24,1,20,1,CA,20,1,8,1,DZ,8,1,CA,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.1809
TXN000012,2024-01-01 10:34:00,E2E-UW40L0DFTR,DE73306860618728764476,US736812878200735190,DRSDDEK1EUR,MRSLUSN5,95326.42,EUR,pacs.009,DE,US,22,1,DE,22,1,20,1,US,20,1,11,1,DE,8,1,US,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.1743
TXN000013,2024-01-01 09:24:00,E2E-M1XYTKJWHB,AU639673430341413641,CH3885101033037972427,NATAAUZZ,BCVLCHR3,19099.87,AUD,pacs.008,AU,CH,20,1,AU,20,1,21,1,CH,21,1,8,1,AU,8,1,CH,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.0403
TXN000014,2024-01-01 09:18:00,E2E-PA37YY4SN5,EG1935981442942977589167395,TN8512581050024770395576,BCAIEGP1,AMENTNB3BRC,57362.6,EGP,pacs.009,EG,TN,27,1,EG,27,1,24,1,TN,24,1,8,1,EG,11,1,TN,0,0,0,1,NORMAL,1,1,1,1,1,ACCP,,0.013
TXN000015,2024-01-01 09:52:00,E2E-9DM50DOFAA,EG1110346,EG3675708520505514698306905,MASHEGT7,BCAIEGM9,4621.24,EGP,pacs.009,EG,EG,9,0,EG,27,0,27,1,EG,27,1,8,1,EG,8,1,EG,0,0,0,2,NORMAL,1,1,1,1,1,RJCT,AC13,0.8191
TXN000016,2024-01-01 09:00:00,E2E-9TZIRUITRG,TN71610160,PT35798042414158837846645,UIBTTNGG,TOTAPTX2,42027.49,EUR,pacs.008,TN,PT,10,0,TN,24,0,25,1,PT,25,1,8,1,TN,8,1,PT,0,0,0,2,NORMAL,1,1,1,1,0,RJCT,AC13,0.8538
TXN000017,2024-01-01 11:28:00,E2E-XTQNSTVP0U,ES6378663666525639106291,EG2681826496668844035771169,CECAESM9,NBEGEGP1BRC,47019.09,ZZZ,pacs.009,ES,EG,24,1,ES,24,1,27,1,EG,27,1,8,1,ES,11,1,EG,0,0,0,2,NORMAL,0,1,1,1,0,RJCT,AG02,0.799
TXN000018,2024-01-01 10:33:00,E2E-QTD7IY9WXZ,IT9339448906866192205633588,CN133738822166600921,UBSPITB3,CMBCCNT7,86038.71,EUR,pacs.009,IT,CN,27,1,IT,27,1,20,1,CN,20,1,8,1,IT,8,1,CN,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.056
TXN000019,2024-01-01 09:12:00,E2E-JTZJF1XR2F,CN324911298547464434,TR544256161,BOSCCNX2XXX,FINGTRGG,62960.11,CNY,pacs.008,CN,TR,20,1,CN,20,1,11,0,TR,26,0,11,1,CN,8,1,TR,0,0,0,2,NORMAL,1,1,1,1,1,RJCT,AC04,0.7414
TXN000020,2024-01-01 09:16:00,E2E-UOUU1XOMOS,TN8555169848738131144278,CH8264970170888150497,AMENTNM9EUR,CRESCHK1BRC,11947.07,TND,pacs.009,TN,CH,24,1,TN,24,1,21,1,CH,21,1,11,1,TN,11,1,CH,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.1517
TXN000021,2024-01-01 11:00:00,E2E-GG5KZE7T9F,PT72214380533410945141768,DZ1354555602410727934578,BCOMPTHH,BEAWDZZZ,0.45,EUR,pacs.009,PT,DZ,25,1,PT,25,1,24,1,DZ,24,1,8,1,PT,8,1,DZ,0,0,0,2,QUASI_NUL,1,1,1,1,1,RJCT,AM01,0.7812
TXN000022,2024-01-01 09:03:00,E2E-WQYESAAS7I,US383434157260574562,JP977641515884281200,WELLUSK1XXX,TOKYJPHH,66085.99,EUR,XXXXX,US,JP,20,1,US,20,1,20,1,JP,20,1,11,1,US,8,1,JP,0,0,0,2,NORMAL,1,0,1,1,0,RJCT,FF01,0.7874
TXN000023,2024-01-01 11:40:00,E2E-SG588K6PVK,NL6658400447460059,AT631411915194292827,TRIONLCC,VKBLATBB,93066.53,ABC,pacs.008,NL,AT,18,1,NL,18,1,20,1,AT,20,1,8,1,NL,8,1,AT,0,0,0,2,NORMAL,0,1,1,1,0,RJCT,AG02,0.8059
TXN000024,2024-01-01 09:09:00,E2E-YKB1UTRXNP,GB63018319589196468167,EG8020164238989764369177956,MIDLGBB3,HBZAEGN5,74520.39,GBP,pacs.009,GB,EG,22,1,GB,22,1,27,1,EG,27,1,8,1,GB,8,1,EG,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.1394
TXN000025,2024-01-01 12:00:00,E2E-V9Q6OSKGJC,JP184689736942538096,EG1735656744517786963878868,BOTKJPZZ,NBEGEGP1XXX,151283.64,JPY,pacs.009,JP,EG,20,1,JP,20,1,27,1,EG,27,1,8,1,JP,11,1,EG,0,0,0,2,ELEVE,1,1,1,1,1,RJCT,AM04,0.659
TXN000026,2024-01-01 12:35:00,E2E-CQDJQ5QSH5,ES2521690170168826119442,IR109813883811970722316771,CECAESB3,BMJIIRT7XXX,99620.61,EUR,pacs.009,ES,IR,24,1,ES,24,1,26,0,IR,26,1,8,1,ES,11,0,IR,1,1,0,2,NORMAL,1,1,1,1,1,RJCT,AG01,0.9438
TXN000027,2024-01-01 11:02:00,E2E-70J789YG0K,TR865680797468182881535154,TR448017588014145944916731,GARATRAA,YFBKTR2X,54234.19,TRY,pacs.009,TR,TR,26,1,TR,26,1,26,1,TR,26,1,8,1,TR,8,1,TR,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.188
TXN000028,2024-01-01 13:24:00,E2E-BTRDZZV9V5,CH1959180584648527809,TR248871521613650757827945,UBSWCH2X,YFBKTRCCBRC,62705.05,XYZ,pacs.009,CH,TR,21,1,CH,21,1,26,1,TR,26,1,8,1,CH,11,1,TR,0,0,0,2,NORMAL,0,1,1,1,0,RJCT,AG02,0.7159
TXN000029,2024-01-01 13:08:00,E2E-DX9MOAYK9V,EG9869689243910498379096909,US940652857141615441,MASHEGP1,GSCMUSN5,6089.41,EGP,pacs.008,EG,US,27,1,EG,27,1,20,1,US,20,1,8,1,EG,8,1,US,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.0336
TXN000030,2024-01-01 13:48:00,E2E-7C82NJJEB2,TR556726278738478225827580,FR1119888462899574677444065,TCBATRAA,CRLYFRZZ,2369862.27,EUR,pacs.009,TR,FR,26,1,TR,26,1,27,1,FR,27,1,8,1,TR,8,1,FR,0,0,0,2,DEPASSE_PLAFOND,1,1,1,1,0,RJCT,AM02,0.9209
TXN000031,2024-01-01 14:00:00,E2E-85NWAB7NO7,TR102460504786747930256710,XA68287347045228366724,ZBBATR2X,GARATR2X,8200.4,TRY,pacs.009,TR,TR,26,1,TR,26,1,22,0,XA,26,0,8,1,TR,8,1,TR,0,0,0,1,NORMAL,1,1,1,0,1,RJCT,AC01,0.7639
TXN000032,2024-01-01 12:39:00,E2E-0LC6E2CSK4,GB44468111735142570839,CH9323583472588630501,HSBCGBHH,POFGCHR3,73701.52,GBP,pacs.008,GB,CH,22,1,GB,22,1,21,1,CH,21,1,8,1,GB,8,1,CH,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.2146
TXN000033,2024-01-01 10:40:00,E2E-EH83TZUY8K,TR523570338455114940663964,MA1286012,FINGTRK1,ATTJMAZZ,10499.94,TRY,pacs.009,TR,MA,26,1,TR,26,1,9,0,MA,24,0,8,1,TR,8,1,MA,0,0,0,2,NORMAL,1,1,1,1,1,RJCT,AC04,0.7595
TXN000034,2024-01-01 11:51:00,E2E-G7VQ72B1QM,IT1318290595306524338964189,NL928135,MCSMITT7001,SNSBNLGG,28692.08,EUR,pacs.009,IT,NL,27,1,IT,27,1,8,0,NL,18,0,11,1,IT,8,1,NL,0,0,0,2,NORMAL,1,1,1,1,1,RJCT,AC04,0.8266
TXN000035,2024-01-01 14:48:00,E2E-Z3WE0911RJ,CA384701210209265144,PT95576473501768576034546,BMONCAPP,MONSPTT7,75809.18,CAD,MT103,CA,PT,20,1,CA,20,1,25,1,PT,25,1,8,1,CA,8,1,PT,0,0,0,2,NORMAL,1,0,1,1,1,RJCT,FF01,0.8184
TXN000036,2024-01-01 16:45:00,E2E-388SZBK3JN,AU456041580,EG9922576143524558050143730,NATAAUZZ,NBEGEGP1EUR,20294.62,AUD,pacs.008,AU,EG,11,0,AU,20,0,27,1,EG,27,1,8,1,AU,11,1,EG,0,0,0,2,NORMAL,1,1,1,1,1,RJCT,AC13,0.8488
TXN000037,2024-01-01 14:36:00,E2E-H6PA33KHKD,CA320300250774053944,DE19062040564665959978,BMONCAAA,MHYBDEGG,27752.27,CAD,pacs.009,CA,DE,20,1,CA,20,1,22,1,DE,22,1,8,1,CA,8,1,DE,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.07
TXN000038,2024-01-01 14:47:00,E2E-BR38O9NCNB,CA359280020107401451,MA5439809509947514290217,NRSCCAMM,CIHMMAHH,463909.09,CAD,pacs.008,CA,MA,20,1,CA,20,1,24,1,MA,24,1,8,1,CA,8,1,MA,0,0,0,2,ZONE_GRISE,1,1,1,1,1,RJCT,AM04,0.7711
TXN000039,2024-01-01 13:04:00,E2E-SHYSYJPG08,GB31646724418483434284,GB81398687799449202620,BARCGBXX,BARCGBAA,69433.75,GBP,pacs.008,GB,GB,22,1,GB,22,1,22,1,GB,22,1,8,1,GB,8,1,GB,0,0,0,2,NORMAL,1,1,1,1,1,ACCP,,0.0982
